,filename,label
0,aug_0,0
1,aug_1,1
2,aug_2,1
3,aug_3,1
4,aug_4,1
5,aug_5,1
6,aug_6,1
7,aug_7,1
8,aug_8,1
9,aug_9,0
10,aug_10,1
11,aug_11,0
12,aug_12,1
13,aug_13,1
14,aug_14,1
15,aug_15,1
16,aug_16,1
17,aug_17,1
18,aug_18,1
19,aug_19,0
20,aug_20,0
21,aug_21,1
22,aug_22,0
23,aug_23,1
24,aug_24,1
25,aug_25,1
26,aug_26,1
27,aug_27,1
28,aug_28,1
29,aug_29,0
30,aug_30,1
31,aug_31,0
32,aug_32,1
33,aug_33,1
34,aug_34,0
35,aug_35,1
36,aug_36,1
37,aug_37,1
38,aug_38,1
39,aug_39,1
40,aug_40,1
41,aug_41,1
42,aug_42,1
43,aug_43,0
44,aug_44,1
45,aug_45,0
46,aug_46,0
47,aug_47,1
48,aug_48,0
49,aug_49,1
50,aug_50,1
51,aug_51,1
52,aug_52,1
53,aug_53,0
54,aug_54,1
55,aug_55,1
56,aug_56,1
57,aug_57,1
58,aug_58,1
59,aug_59,1
60,aug_60,1
61,aug_61,0
62,aug_62,1
63,aug_63,1
64,aug_64,1
65,aug_65,1
66,aug_66,1
67,aug_67,1
68,aug_68,0
69,aug_69,1
70,aug_70,1
71,aug_71,1
72,aug_72,0
73,aug_73,0
74,aug_74,1
75,aug_75,0
76,aug_76,1
77,aug_77,1
78,aug_78,0
79,aug_79,1
80,aug_80,0
81,aug_81,0
82,aug_82,1
83,aug_83,1
84,aug_84,1
85,aug_85,1
86,aug_86,1
87,aug_87,1
88,aug_88,1
89,aug_89,0
90,aug_90,0
91,aug_91,0
92,aug_92,1
93,aug_93,0
94,aug_94,1
95,aug_95,1
96,aug_96,0
97,aug_97,1
98,aug_98,1
99,aug_99,1
100,aug_100,1
101,aug_101,1
102,aug_102,1
103,aug_103,0
104,aug_104,1
105,aug_105,1
106,aug_106,1
107,aug_107,1
108,aug_108,1
109,aug_109,1
110,aug_110,0
111,aug_111,0
112,aug_112,0
113,aug_113,1
114,aug_114,0
115,aug_115,1
116,aug_116,0
117,aug_117,0
118,aug_118,1
119,aug_119,0
120,aug_120,0
121,aug_121,0
122,aug_122,1
123,aug_123,1
124,aug_124,0
125,aug_125,1
126,aug_126,1
127,aug_127,1
128,aug_128,0
129,aug_129,0
130,aug_130,1
131,aug_131,1
132,aug_132,1
133,aug_133,0
134,aug_134,1
135,aug_135,1
136,aug_136,0
137,aug_137,1
138,aug_138,1
139,aug_139,1
140,aug_140,0
141,aug_141,1
142,aug_142,0
143,aug_143,1
144,aug_144,1
145,aug_145,1
146,aug_146,1
147,aug_147,0
148,aug_148,1
149,aug_149,1
150,aug_150,1
151,aug_151,1
152,aug_152,0
153,aug_153,0
154,aug_154,1
155,aug_155,1
156,aug_156,1
157,aug_157,1
158,aug_158,0
159,aug_159,1
160,aug_160,0
161,aug_161,1
162,aug_162,0
163,aug_163,1
164,aug_164,0
165,aug_165,1
166,aug_166,0
167,aug_167,1
168,aug_168,1
169,aug_169,0
170,aug_170,0
171,aug_171,1
172,aug_172,0
173,aug_173,0
174,aug_174,1
175,aug_175,0
176,aug_176,0
177,aug_177,1
178,aug_178,1
179,aug_179,1
180,aug_180,1
181,aug_181,1
182,aug_182,0
183,aug_183,1
184,aug_184,0
185,aug_185,1
186,aug_186,1
187,aug_187,1
188,aug_188,1
189,aug_189,1
190,aug_190,1
191,aug_191,1
192,aug_192,1
193,aug_193,0
194,aug_194,1
195,aug_195,0
196,aug_196,1
197,aug_197,1
198,aug_198,1
199,aug_199,1
200,aug_200,1
201,aug_201,1
202,aug_202,1
203,aug_203,0
204,aug_204,0
205,aug_205,1
206,aug_206,0
207,aug_207,1
208,aug_208,1
209,aug_209,1
210,aug_210,1
211,aug_211,1
212,aug_212,1
213,aug_213,0
214,aug_214,1
215,aug_215,0
216,aug_216,1
217,aug_217,1
218,aug_218,0
219,aug_219,1
220,aug_220,1
221,aug_221,1
222,aug_222,1
223,aug_223,1
224,aug_224,1
225,aug_225,1
226,aug_226,1
227,aug_227,0
228,aug_228,1
229,aug_229,0
230,aug_230,0
231,aug_231,1
232,aug_232,0
233,aug_233,1
234,aug_234,1
235,aug_235,1
236,aug_236,1
237,aug_237,0
238,aug_238,1
239,aug_239,1
240,aug_240,1
241,aug_241,1
242,aug_242,1
243,aug_243,1
244,aug_244,1
245,aug_245,0
246,aug_246,1
247,aug_247,1
248,aug_248,1
249,aug_249,1
250,aug_250,1
251,aug_251,1
252,aug_252,0
253,aug_253,1
254,aug_254,1
255,aug_255,1
256,aug_256,0
257,aug_257,0
258,aug_258,1
259,aug_259,0
260,aug_260,1
261,aug_261,1
262,aug_262,0
263,aug_263,1
264,aug_264,0
265,aug_265,0
266,aug_266,1
267,aug_267,1
268,aug_268,1
269,aug_269,1
270,aug_270,1
271,aug_271,1
272,aug_272,1
273,aug_273,0
274,aug_274,0
275,aug_275,0
276,aug_276,1
277,aug_277,0
278,aug_278,1
279,aug_279,1
280,aug_280,0
281,aug_281,1
282,aug_282,1
283,aug_283,1
284,aug_284,1
285,aug_285,1
286,aug_286,1
287,aug_287,0
288,aug_288,1
289,aug_289,1
290,aug_290,1
291,aug_291,1
292,aug_292,1
293,aug_293,1
294,aug_294,0
295,aug_295,0
296,aug_296,0
297,aug_297,1
298,aug_298,0
299,aug_299,1
300,aug_300,0
301,aug_301,0
302,aug_302,1
303,aug_303,0
304,aug_304,0
305,aug_305,0
306,aug_306,1
307,aug_307,1
308,aug_308,0
309,aug_309,1
310,aug_310,1
311,aug_311,1
312,aug_312,0
313,aug_313,0
314,aug_314,1
315,aug_315,1
316,aug_316,1
317,aug_317,0
318,aug_318,1
319,aug_319,1
320,aug_320,0
321,aug_321,1
322,aug_322,1
323,aug_323,1
324,aug_324,0
325,aug_325,1
326,aug_326,0
327,aug_327,1
328,aug_328,1
329,aug_329,1
330,aug_330,1
331,aug_331,0
332,aug_332,1
333,aug_333,1
334,aug_334,1
335,aug_335,1
336,aug_336,0
337,aug_337,0
338,aug_338,1
339,aug_339,1
340,aug_340,1
341,aug_341,1
342,aug_342,0
343,aug_343,1
344,aug_344,0
345,aug_345,1
346,aug_346,0
347,aug_347,1
348,aug_348,0
349,aug_349,1
350,aug_350,0
351,aug_351,1
352,aug_352,1
353,aug_353,0
354,aug_354,0
355,aug_355,1
356,aug_356,0
357,aug_357,0
358,aug_358,1
359,aug_359,0
360,aug_360,0
361,aug_361,1
362,aug_362,1
363,aug_363,1
364,aug_364,1
365,aug_365,1
366,aug_366,0
367,aug_367,1
368,aug_368,1
369,aug_369,1
370,aug_370,1
371,aug_371,0
372,aug_372,0
373,aug_373,1
374,aug_374,1
375,aug_375,0
376,aug_376,0
377,aug_377,1
378,aug_378,0
379,aug_379,1
380,aug_380,1
381,aug_381,0
382,aug_382,1
383,aug_383,0
384,aug_384,1
385,aug_385,1
386,aug_386,0
387,aug_387,1
388,aug_388,0
389,aug_389,1
390,aug_390,1
391,aug_391,0
392,aug_392,1
393,aug_393,0
394,aug_394,1
395,aug_395,1
396,aug_396,1
397,aug_397,1
398,aug_398,1
399,aug_399,1
400,aug_400,0
401,aug_401,1
402,aug_402,0
403,aug_403,0
404,aug_404,1
405,aug_405,1
406,aug_406,0
407,aug_407,0
408,aug_408,0
409,aug_409,1
410,aug_410,1
411,aug_411,0
412,aug_412,0
413,aug_413,1
414,aug_414,1
415,aug_415,0
416,aug_416,1
417,aug_417,1
418,aug_418,0
419,aug_419,0
420,aug_420,1
421,aug_421,0
422,aug_422,1
423,aug_423,1
424,aug_424,0
425,aug_425,1
426,aug_426,0
427,aug_427,1
428,aug_428,0
429,aug_429,0
430,aug_430,1
431,aug_431,1
432,aug_432,0
433,aug_433,0
434,aug_434,0
435,aug_435,1
436,aug_436,0
437,aug_437,1
438,aug_438,1
439,aug_439,1
440,aug_440,1
441,aug_441,1
442,aug_442,1
443,aug_443,0
444,aug_444,0
445,aug_445,1
446,aug_446,1
447,aug_447,1
448,aug_448,1
449,aug_449,0
450,aug_450,0
451,aug_451,0
452,aug_452,1
453,aug_453,1
454,aug_454,0
455,aug_455,0
456,aug_456,1
457,aug_457,0
458,aug_458,0
